Fare,Embarked,Age,Parch,Pclass,Sex,Survived,SibSp
7.25,S,22.0,0,3,male,0,1
71.2833,C,38.0,0,1,female,1,1
7.925,S,26.0,0,3,female,1,0
53.1,S,35.0,0,1,female,1,1
8.05,S,35.0,0,3,male,0,0
8.4583,Q,,0,3,male,0,0
51.8625,S,54.0,0,1,male,0,0
21.075,S,2.0,1,3,male,0,3
11.1333,S,27.0,2,3,female,1,0
30.0708,C,14.0,0,2,female,1,1
16.7,S,4.0,1,3,female,1,1
26.55,S,58.0,0,1,female,1,0
8.05,S,20.0,0,3,male,0,0
31.275,S,39.0,5,3,male,0,1
7.8542,S,14.0,0,3,female,0,0
16.0,S,55.0,0,2,female,1,0
29.125,Q,2.0,1,3,male,0,4
13.0,S,,0,2,male,1,0
18.0,S,31.0,0,3,female,0,1
7.225,C,,0,3,female,1,0
26.0,S,35.0,0,2,male,0,0
13.0,S,34.0,0,2,male,1,0
8.0292,Q,15.0,0,3,female,1,0
35.5,S,28.0,0,1,male,1,0
21.075,S,8.0,1,3,female,0,3
31.3875,S,38.0,5,3,female,1,1
7.225,C,,0,3,male,0,0
263.0,S,19.0,2,1,male,0,3
7.8792,Q,,0,3,female,1,0
7.8958,S,,0,3,male,0,0
27.7208,C,40.0,0,1,male,0,0
146.5208,C,,0,1,female,1,1
7.75,Q,,0,3,female,1,0
10.5,S,66.0,0,2,male,0,0
82.1708,C,28.0,0,1,male,0,1
52.0,S,42.0,0,1,male,0,1
7.2292,C,,0,3,male,1,0
8.05,S,21.0,0,3,male,0,0
18.0,S,18.0,0,3,female,0,2
11.2417,C,14.0,0,3,female,1,1
9.475,S,40.0,0,3,female,0,1
21.0,S,27.0,0,2,female,0,1
7.8958,C,,0,3,male,0,0
41.5792,C,3.0,2,2,female,1,1
7.8792,Q,19.0,0,3,female,1,0
8.05,S,,0,3,male,0,0
15.5,Q,,0,3,male,0,1
7.75,Q,,0,3,female,1,0
21.6792,C,,0,3,male,0,2
17.8,S,18.0,0,3,female,0,1
39.6875,S,7.0,1,3,male,0,4
7.8,S,21.0,0,3,male,0,0
76.7292,C,49.0,0,1,female,1,1
26.0,S,29.0,0,2,female,1,1
61.9792,C,65.0,1,1,male,0,0
35.5,S,,0,1,male,1,0
10.5,S,21.0,0,2,female,1,0
7.2292,C,28.5,0,3,male,0,0
27.75,S,5.0,2,2,female,1,1
46.9,S,11.0,2,3,male,0,5
7.2292,C,22.0,0,3,male,0,0
80.0,,38.0,0,1,female,1,0
83.475,S,45.0,0,1,male,0,1
27.9,S,4.0,2,3,male,0,3
27.7208,C,,0,1,male,0,0
15.2458,C,,1,3,male,1,1
10.5,S,29.0,0,2,female,1,0
8.1583,S,19.0,0,3,male,0,0
7.925,S,17.0,2,3,female,1,4
8.6625,S,26.0,0,3,male,0,2
10.5,S,32.0,0,2,male,0,0
46.9,S,16.0,2,3,female,0,5
73.5,S,21.0,0,2,male,0,0
14.4542,C,26.0,0,3,male,0,1
56.4958,S,32.0,0,3,male,1,0
7.65,S,25.0,0,3,male,0,0
7.8958,S,,0,3,male,0,0
8.05,S,,0,3,male,0,0
29.0,S,0.83,2,2,male,1,0
12.475,S,30.0,0,3,female,1,0
9.0,S,22.0,0,3,male,0,0
9.5,S,29.0,0,3,male,1,0
7.7875,Q,,0,3,female,1,0
47.1,S,28.0,0,1,male,0,0
10.5,S,17.0,0,2,female,1,0
15.85,S,33.0,0,3,female,1,3
34.375,S,16.0,3,3,male,0,1
8.05,S,,0,3,male,0,0
263.0,S,23.0,2,1,female,1,3
8.05,S,24.0,0,3,male,0,0
8.05,S,29.0,0,3,male,0,0
7.8542,S,20.0,0,3,male,0,0
61.175,S,46.0,0,1,male,0,1
20.575,S,26.0,2,3,male,0,1
7.25,S,59.0,0,3,male,0,0
8.05,S,,0,3,male,0,0
34.6542,C,71.0,0,1,male,0,0
63.3583,C,23.0,1,1,male,1,0
23.0,S,34.0,1,2,female,1,0
26.0,S,34.0,0,2,male,0,1
7.8958,S,28.0,0,3,female,0,0
7.8958,S,,0,3,male,0,0
77.2875,S,21.0,1,1,male,0,0
8.6542,S,33.0,0,3,male,0,0
7.925,S,37.0,0,3,male,0,2
7.8958,S,28.0,0,3,male,0,0
7.65,S,21.0,0,3,female,1,0
7.775,S,,0,3,male,1,0
7.8958,S,38.0,0,3,male,0,0
24.15,Q,,0,3,female,1,1
52.0,S,47.0,0,1,male,0,0
14.4542,C,14.5,0,3,female,0,1
8.05,S,22.0,0,3,male,0,0
9.825,S,20.0,0,3,female,0,1
14.4583,C,17.0,0,3,female,0,0
7.925,S,21.0,0,3,male,0,0
7.75,Q,70.5,0,3,male,0,0
21.0,S,29.0,0,2,male,0,1
247.5208,C,24.0,1,1,male,0,0
31.275,S,2.0,2,3,female,0,4
73.5,S,21.0,0,2,male,0,2
8.05,S,,0,3,male,0,0
30.0708,C,32.5,0,2,male,0,1
13.0,S,32.5,0,2,female,1,0
77.2875,S,54.0,1,1,male,0,0
11.2417,C,12.0,0,3,male,1,1
7.75,Q,,0,3,male,0,0
7.1417,S,24.0,0,3,male,1,0
22.3583,C,,1,3,female,1,1
6.975,S,45.0,0,3,male,0,0
7.8958,C,33.0,0,3,male,0,0
7.05,S,20.0,0,3,male,0,0
14.5,S,47.0,0,3,female,0,1
26.0,S,29.0,0,2,female,1,1
13.0,S,25.0,0,2,male,0,0
15.0458,C,23.0,0,2,male,0,0
26.2833,S,19.0,2,1,female,1,0
53.1,S,37.0,0,1,male,0,1
9.2167,S,16.0,0,3,male,0,0
79.2,C,24.0,0,1,male,0,0
15.2458,C,,2,3,female,0,0
7.75,S,22.0,0,3,female,1,0
15.85,S,24.0,0,3,female,1,1
6.75,Q,19.0,0,3,male,0,0
11.5,S,18.0,0,2,male,0,0
36.75,S,19.0,1,2,male,0,1
7.7958,S,27.0,0,3,male,1,0
34.375,S,9.0,2,3,female,0,2
26.0,S,36.5,2,2,male,0,0
13.0,S,42.0,0,2,male,0,0
12.525,S,51.0,0,2,male,0,0
66.6,S,22.0,0,1,female,1,1
8.05,S,55.5,0,3,male,0,0
14.5,S,40.5,2,3,male,0,0
7.3125,S,,0,3,male,0,0
61.3792,C,51.0,1,1,male,0,0
7.7333,Q,16.0,0,3,female,1,0
8.05,S,30.0,0,3,male,0,0
8.6625,S,,0,3,male,0,0
69.55,S,,2,3,male,0,8
16.1,S,44.0,1,3,male,0,0
15.75,S,40.0,0,2,female,1,0
7.775,S,26.0,0,3,male,0,0
8.6625,S,17.0,0,3,male,0,0
39.6875,S,1.0,1,3,male,0,4
20.525,S,9.0,2,3,male,1,0
55.0,S,,1,1,female,1,0
27.9,S,45.0,4,3,female,0,1
25.925,S,,0,1,male,0,0
56.4958,S,28.0,0,3,male,0,0
33.5,S,61.0,0,1,male,0,0
29.125,Q,4.0,1,3,male,0,4
11.1333,S,1.0,1,3,female,1,1
7.925,S,21.0,0,3,male,0,0
30.6958,C,56.0,0,1,male,0,0
7.8542,S,18.0,1,3,male,0,1
25.4667,S,,1,3,male,0,3
28.7125,C,50.0,0,1,female,0,0
13.0,S,30.0,0,2,male,0,0
0.0,S,36.0,0,3,male,0,0
69.55,S,,2,3,female,0,8
15.05,C,,0,2,male,0,0
31.3875,S,9.0,2,3,male,0,4
39.0,S,1.0,1,2,male,1,2
22.025,S,4.0,2,3,female,1,0
50.0,S,,0,1,male,0,0
15.5,Q,,0,3,female,1,1
26.55,S,45.0,0,1,male,1,0
15.5,Q,40.0,1,3,male,0,1
7.8958,S,36.0,0,3,male,0,0
13.0,S,32.0,0,2,female,1,0
13.0,S,19.0,0,2,male,0,0
7.8542,S,19.0,0,3,female,1,1
26.0,S,3.0,1,2,male,1,1
27.7208,C,44.0,0,1,female,1,0
146.5208,C,58.0,0,1,female,1,0
7.75,Q,,0,3,male,0,0
8.4042,S,42.0,1,3,male,0,0
7.75,Q,,0,3,female,1,0
13.0,S,24.0,0,2,female,0,0
9.5,S,28.0,0,3,male,0,0
69.55,S,,2,3,male,0,8
6.4958,S,34.0,0,3,male,0,0
7.225,C,45.5,0,3,male,0,0
8.05,S,18.0,0,3,male,1,0
10.4625,S,2.0,1,3,female,0,0
15.85,S,32.0,0,3,male,0,1
18.7875,C,26.0,0,3,male,1,0
7.75,Q,16.0,0,3,female,1,0
31.0,C,40.0,0,1,male,1,0
7.05,S,24.0,0,3,male,0,0
21.0,S,35.0,0,2,female,1,0
7.25,S,22.0,0,3,male,0,0
13.0,S,30.0,0,2,male,0,0
7.75,Q,,0,3,male,0,1
113.275,C,31.0,0,1,female,1,1
7.925,S,27.0,0,3,female,1,0
27.0,S,42.0,0,2,male,0,1
76.2917,C,32.0,0,1,female,1,0
10.5,S,30.0,0,2,male,0,0
8.05,S,16.0,0,3,male,1,0
13.0,S,27.0,0,2,male,0,0
8.05,S,51.0,0,3,male,0,0
7.8958,S,,0,3,male,0,0
90.0,S,38.0,0,1,male,1,1
9.35,S,22.0,0,3,male,0,0
10.5,S,19.0,0,2,male,1,0
7.25,S,20.5,0,3,male,0,0
13.0,S,18.0,0,2,male,0,0
25.4667,S,,1,3,female,0,3
83.475,S,35.0,0,1,female,1,1
7.775,S,29.0,0,3,male,0,0
13.5,S,59.0,0,2,male,0,0
31.3875,S,5.0,2,3,female,1,4
10.5,S,24.0,0,2,male,0,0
7.55,S,,0,3,female,0,0
26.0,S,44.0,0,2,male,0,1
26.25,S,8.0,2,2,female,1,0
10.5,S,19.0,0,2,male,0,0
12.275,S,33.0,0,2,male,0,0
14.4542,C,,0,3,female,0,1
15.5,Q,,0,3,female,1,1
10.5,S,29.0,0,2,male,0,0
7.125,S,22.0,0,3,male,0,0
7.225,C,30.0,0,3,male,0,0
90.0,Q,44.0,0,1,male,0,2
7.775,S,25.0,0,3,female,0,0
14.5,S,24.0,2,2,female,1,0
52.5542,S,37.0,1,1,male,1,1
26.0,S,54.0,0,2,male,0,1
7.25,S,,0,3,male,0,0
10.4625,S,29.0,1,3,female,0,1
26.55,S,62.0,0,1,male,0,0
16.1,S,30.0,0,3,male,0,1
20.2125,S,41.0,2,3,female,0,0
15.2458,C,29.0,2,3,female,1,0
79.2,C,,0,1,female,1,0
86.5,S,30.0,0,1,female,1,0
512.3292,C,35.0,0,1,female,1,0
26.0,S,50.0,1,2,female,1,0
7.75,Q,,0,3,male,0,0
31.3875,S,3.0,2,3,male,1,4
79.65,S,52.0,1,1,male,0,1
0.0,S,40.0,0,1,male,0,0
7.75,Q,,0,3,female,0,0
10.5,S,36.0,0,2,male,0,0
39.6875,S,16.0,1,3,male,0,4
7.775,S,25.0,0,3,male,1,1
153.4625,S,58.0,1,1,female,1,0
135.6333,S,35.0,0,1,female,1,0
31.0,S,,0,1,male,0,0
0.0,S,25.0,0,3,male,1,0
19.5,S,41.0,1,2,female,1,0
29.7,C,37.0,1,1,male,0,0
7.75,Q,,0,3,female,1,0
77.9583,S,63.0,0,1,female,1,1
7.75,S,45.0,0,3,female,0,0
0.0,S,,0,2,male,0,0
29.125,Q,7.0,1,3,male,0,4
20.25,S,35.0,1,3,female,1,1
7.75,Q,65.0,0,3,male,0,0
7.8542,S,28.0,0,3,male,0,0
9.5,S,16.0,0,3,male,0,0
8.05,S,19.0,0,3,male,1,0
26.0,S,,0,1,male,0,0
8.6625,C,33.0,0,3,male,0,0
9.5,S,30.0,0,3,male,1,0
7.8958,S,22.0,0,3,male,0,0
13.0,S,42.0,0,2,male,1,0
7.75,Q,22.0,0,3,female,1,0
78.85,S,26.0,0,1,female,1,0
91.0792,C,19.0,0,1,female,1,1
12.875,C,36.0,0,2,male,0,0
8.85,S,24.0,0,3,female,0,0
7.8958,S,24.0,0,3,male,0,0
27.7208,C,,0,1,male,0,0
7.2292,C,23.5,0,3,male,0,0
151.55,S,2.0,2,1,female,0,1
30.5,S,,0,1,male,1,0
247.5208,C,50.0,1,1,female,1,0
7.75,Q,,0,3,female,1,0
23.25,Q,,0,3,male,1,2
0.0,S,19.0,0,3,male,0,0
12.35,Q,,0,2,female,1,0
8.05,S,,0,3,male,0,0
151.55,S,0.92,2,1,male,1,1
110.8833,C,,0,1,female,1,0
108.9,C,17.0,0,1,female,1,1
24.0,C,30.0,0,2,male,0,1
56.9292,C,30.0,0,1,female,1,0
83.1583,C,24.0,0,1,female,1,0
262.375,C,18.0,2,1,female,1,2
26.0,S,26.0,1,2,female,0,1
7.8958,S,28.0,0,3,male,0,0
26.25,S,43.0,1,2,male,0,1
7.8542,S,26.0,0,3,female,1,0
26.0,S,24.0,0,2,female,1,1
14.0,S,54.0,0,2,male,0,0
164.8667,S,31.0,2,1,female,1,0
134.5,C,40.0,1,1,female,1,1
7.25,S,22.0,0,3,male,0,0
7.8958,S,27.0,0,3,male,0,0
12.35,Q,30.0,0,2,female,1,0
29.0,S,22.0,1,2,female,1,1
69.55,S,,2,3,male,0,8
135.6333,C,36.0,0,1,female,1,0
6.2375,S,61.0,0,3,male,0,0
13.0,S,36.0,0,2,female,1,0
20.525,S,31.0,1,3,female,1,1
57.9792,C,16.0,1,1,female,1,0
23.25,Q,,0,3,female,1,2
28.5,S,45.5,0,1,male,0,0
153.4625,S,38.0,1,1,male,0,0
18.0,S,16.0,0,3,male,0,2
133.65,S,,0,1,female,1,1
7.8958,S,,0,3,male,0,0
66.6,S,29.0,0,1,male,0,1
134.5,C,41.0,0,1,female,1,0
8.05,S,45.0,0,3,male,1,0
35.5,S,45.0,0,1,male,0,0
26.0,S,2.0,1,2,male,1,1
263.0,S,24.0,2,1,female,1,3
13.0,S,28.0,0,2,male,0,0
13.0,S,25.0,0,2,male,0,0
13.0,S,36.0,0,2,male,0,0
13.0,S,24.0,0,2,female,1,0
13.0,S,40.0,0,2,female,1,0
16.1,S,,0,3,female,1,1
15.9,S,3.0,1,3,male,1,1
8.6625,S,42.0,0,3,male,0,0
9.225,S,23.0,0,3,male,0,0
35.0,S,,0,1,male,0,0
7.2292,C,15.0,1,3,male,0,1
17.8,S,25.0,0,3,male,0,1
7.225,C,,0,3,male,0,0
9.5,S,28.0,0,3,male,0,0
55.0,S,22.0,1,1,female,1,0
13.0,S,38.0,0,2,female,0,0
7.8792,Q,,0,3,female,1,0
7.8792,Q,,0,3,female,1,0
27.9,S,40.0,4,3,male,0,1
27.7208,C,29.0,0,2,male,0,1
14.4542,C,45.0,1,3,female,0,0
7.05,S,35.0,0,3,male,0,0
15.5,Q,,0,3,male,0,1
7.25,S,30.0,0,3,male,0,0
75.25,C,60.0,0,1,female,1,1
7.2292,C,,0,3,female,1,0
7.75,Q,,0,3,female,1,0
69.3,C,24.0,0,1,female,1,0
55.4417,C,25.0,0,1,male,1,1
6.4958,S,18.0,0,3,male,0,1
8.05,S,19.0,0,3,male,0,0
135.6333,C,22.0,0,1,male,0,0
21.075,S,3.0,1,3,female,0,3
82.1708,C,,0,1,female,1,1
7.25,S,22.0,0,3,female,1,0
211.5,C,27.0,2,1,male,0,0
4.0125,C,20.0,0,3,male,0,0
7.775,S,19.0,0,3,male,0,0
227.525,C,42.0,0,1,female,1,0
15.7417,C,1.0,2,3,female,1,0
7.925,S,32.0,0,3,male,0,0
52.0,S,35.0,0,1,female,1,1
7.8958,S,,0,3,male,0,0
73.5,S,18.0,0,2,male,0,0
46.9,S,1.0,2,3,male,0,5
13.0,S,36.0,0,2,female,1,0
7.7292,Q,,0,3,male,0,0
12.0,C,17.0,0,2,female,1,0
120.0,S,36.0,2,1,male,1,1
7.7958,S,21.0,0,3,male,1,0
7.925,S,28.0,0,3,male,0,2
113.275,C,23.0,0,1,female,1,1
16.7,S,24.0,2,3,female,1,0
7.7958,S,22.0,0,3,male,0,0
7.8542,S,31.0,0,3,female,0,0
26.0,S,46.0,0,2,male,0,0
10.5,S,23.0,0,2,male,0,0
12.65,S,28.0,0,2,female,1,0
7.925,S,39.0,0,3,male,1,0
8.05,S,26.0,0,3,male,0,0
9.825,S,21.0,0,3,female,0,1
15.85,S,28.0,0,3,male,0,1
8.6625,S,20.0,0,3,female,0,0
21.0,S,34.0,0,2,male,0,1
7.75,S,51.0,0,3,male,0,0
18.75,S,3.0,1,2,male,1,1
7.775,S,21.0,0,3,male,0,0
25.4667,S,,1,3,female,0,3
7.8958,S,,0,3,male,0,0
6.8583,Q,,0,3,male,0,0
90.0,Q,33.0,0,1,female,1,1
0.0,S,,0,2,male,0,0
7.925,S,44.0,0,3,male,1,0
8.05,S,,0,3,female,0,0
32.5,S,34.0,1,2,female,1,1
13.0,S,18.0,2,2,female,1,0
13.0,S,30.0,0,2,male,0,0
24.15,S,10.0,2,3,female,0,0
7.8958,C,,0,3,male,0,0
7.7333,Q,21.0,0,3,male,0,0
7.875,S,29.0,0,3,male,0,0
14.4,S,28.0,1,3,female,0,1
20.2125,S,18.0,1,3,male,0,1
7.25,S,,0,3,male,0,0
26.0,S,28.0,0,2,female,1,1
26.0,S,19.0,0,2,female,1,0
7.75,Q,,0,3,male,0,0
8.05,S,32.0,0,3,male,1,0
26.55,S,28.0,0,1,male,1,0
16.1,S,,0,3,female,1,1
26.0,S,42.0,0,2,female,1,1
7.125,S,17.0,0,3,male,0,0
55.9,S,50.0,0,1,male,0,1
120.0,S,14.0,2,1,female,1,1
34.375,S,21.0,2,3,female,0,2
18.75,S,24.0,3,2,female,1,2
263.0,S,64.0,4,1,male,0,1
10.5,S,31.0,0,2,male,0,0
26.25,S,45.0,1,2,female,1,1
9.5,S,20.0,0,3,male,0,0
7.775,S,25.0,0,3,male,0,1
